Value Iteration,568,41,164,52,12,13,12,12,10,10,9,10,11,11,18,13,11,16,13,13,14,15,13,12,13,13,15,11,11,15,11,22,15,15,12,12,13,14,12,9,9,9,18,11,12,9,10,12,12,14,14,12,10,13,14,11,9,12,10,15,11,12,12,10,10,11,15,11,18,9,10,11,16,13,10,14,11,11,10,12,16,12,9,11,16,15,14,11,12,12,10,16,9,13,10,16,13,10,16,13
Policy Iteration,433,45,692,31,9,11,9,11,9,11,10,11,16,11,23,11,9,10,13,15,10,22,11,11,16,13,10,16,9,11,9,13,10,13,12,12,19,11,15,12,14,12,12,16,13,11,16,9,9,9,11,12,11,11,13,12,11,15,11,12,11,12,13,16,19,20,13,9,11,10,12,14,10,13,10,10,13,12,15,12,17,10,9,12,10,10,12,14,10,10,10,10,11,10,15,12,11,16,11,11
Q Learning,228,151,33,57,29,11,43,16,19,11,31,11,19,10,10,19,29,23,12,9,15,16,23,28,13,10,25,14,20,13,21,15,10,15,10,9,10,15,17,13,11,13,13,11,16,10,12,13,25,20,14,14,9,13,12,18,58,12,12,11,19,12,13,15,32,14,13,11,16,9,10,11,9,10,15,13,14,11,14,23,12,9,34,10,26,41,16,17,16,14,60,9,10,21,18,21,12,14,15,16
